referee_name,games_officiated,home_win_pct,foul_rate,years_experience,notes
Scott Foster,1500,0.545,42.5,30,Veteran crew chief
Tony Brothers,1450,0.558,44.2,28,High foul rate
Marc Davis,1380,0.552,41.8,26,Consistent officiating
Zach Zarba,1200,0.548,40.5,18,Rising star referee
James Capers,1350,0.551,42.1,27,Playoff experience
Ed Malloy,1180,0.554,43.2,19,Technical foul tendency
Bill Kennedy,1250,0.549,41.5,24,Balanced approach
Kane Fitzgerald,980,0.556,42.8,14,Newer official
Josh Tiven,850,0.552,43.5,12,Moderate home bias
Brian Forte,920,0.550,42.0,13,Average metrics
Pat Fraher,780,0.548,41.2,11,Lower foul rate
Sean Wright,650,0.553,43.8,9,Higher home bias
Gediminas Petraitis,720,0.547,40.8,10,International background
Brent Barnaky,680,0.551,42.3,9,Consistent calls
Natalie Sago,420,0.549,41.7,6,First female crew chief
Jenna Reneau,380,0.546,40.9,5,Rising female official
Mitchell Ervin,450,0.552,42.6,7,Moderate experience
Simone Jelks,340,0.548,41.4,5,Female official
JD Ralls,520,0.550,42.1,8,Steady performance
Jonathan Sterling,480,0.549,41.8,7,Balanced approach
James Williams,560,0.551,42.4,8,Crew chief potential
Justin Van Duyne,490,0.547,40.6,7,Lower home bias
Eric Lewis,890,0.554,43.1,13,Former NBA official (retired 2023)
John Goble,1100,0.550,42.0,20,Veteran presence
Kevin Scott,950,0.548,41.5,15,Consistent veteran
Courtney Kirkland,1050,0.552,42.7,17,Experienced official
David Guthrie,980,0.549,41.9,16,Steady veteran
Ben Taylor,1120,0.551,42.2,19,Long-term official
Derek Richardson,840,0.550,42.5,13,Mid-career official
Tyler Ford,720,0.548,41.3,11,Newer crew chief
